evaluation_year,strategy,policy,cost_fn,cost_fp,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,cost_per_10000,average_precision,roc_auc
2016,smotenc,referencia_007217143,100,1,0.07217143,210,68539,16,19020,87785,0.003054589884943781,0.9292035398230089,0.006089162740123233,68749,7831.520191376659,7807.598109016347,70139,7989.861593666345,0.2195634323204813,0.8782765138288042
2016,pesos_clase,costo,5,1,0.7034533354090238,66,142,160,87417,87785,0.3173076923076923,0.2920353982300885,0.30414746543778803,208,23.69425300449963,16.175884262687248,942,107.30762658768583,0.24991894423517483,0.9143910750647326
2016,pesos_clase,f1_validacion,5,1,0.7034533354090238,66,142,160,87417,87785,0.3173076923076923,0.2920353982300885,0.30414746543778803,208,23.69425300449963,16.175884262687248,942,107.30762658768583,0.24991894423517483,0.9143910750647326
2016,pesos_clase,referencia_007217143,5,1,0.07217143,214,72719,12,14840,87785,0.002934199882083556,0.9469026548672567,0.005850271326836069,72933,8308.139203736402,8283.761462664464,72779,8290.596343338839,0.24991894423517483,0.9143910750647326
2016,pesos_clase,costo,10,1,0.6678321622439813,79,217,147,87342,87785,0.2668918918918919,0.3495575221238938,0.30268199233716475,296,33.71874466024947,24.719485105655863,1687,192.17406162784073,0.24991894423517483,0.9143910750647326
2016,pesos_clase,f1_validacion,10,1,0.7034533354090238,66,142,160,87417,87785,0.3173076923076923,0.2920353982300885,0.30414746543778803,208,23.69425300449963,16.175884262687248,1742,198.43936891268442,0.24991894423517483,0.9143910750647326
2016,pesos_clase,referencia_007217143,10,1,0.07217143,214,72719,12,14840,87785,0.002934199882083556,0.9469026548672567,0.005850271326836069,72933,8308.139203736402,8283.761462664464,72839,8297.431224013215,0.24991894423517483,0.9143910750647326
2016,pesos_clase,costo,25,1,0.5583903761054154,149,600,77,86959,87785,0.19893190921228304,0.6592920353982301,0.30564102564102563,749,85.32209375177992,68.34880674374894,2525,287.63456171327675,0.24991894423517483,0.9143910750647326
2016,pesos_clase,f1_validacion,25,1,0.7034533354090238,66,142,160,87417,87785,0.3173076923076923,0.2920353982300885,0.30414746543778803,208,23.69425300449963,16.175884262687248,4142,471.8345958876801,0.24991894423517483,0.9143910750647326
2016,pesos_clase,referencia_007217143,25,1,0.07217143,214,72719,12,14840,87785,0.002934199882083556,0.9469026548672567,0.005850271326836069,72933,8308.139203736402,8283.761462664464,73019,8317.93586603634,0.24991894423517483,0.9143910750647326
2016,pesos_clase,costo,50,1,0.49283468672465014,169,1339,57,86220,87785,0.11206896551724138,0.7477876106194691,0.19492502883506344,1508,171.78333428262232,152.53175371646637,4189,477.1885857492738,0.24991894423517483,0.9143910750647326
2016,pesos_clase,f1_validacion,50,1,0.7034533354090238,66,142,160,87417,87785,0.3173076923076923,0.2920353982300885,0.30414746543778803,208,23.69425300449963,16.175884262687248,8142,927.493307512673,0.24991894423517483,0.9143910750647326
2016,pesos_clase,referencia_007217143,50,1,0.07217143,214,72719,12,14840,87785,0.002934199882083556,0.9469026548672567,0.005850271326836069,72933,8308.139203736402,8283.761462664464,73319,8352.110269408213,0.24991894423517483,0.9143910750647326
2016,pesos_clase,costo,100,1,0.49283468672465014,169,1339,57,86220,87785,0.11206896551724138,0.7477876106194691,0.19492502883506344,1508,171.78333428262232,152.53175371646637,7039,801.8454177820812,0.24991894423517483,0.9143910750647326
2016,pesos_clase,f1_validacion,100,1,0.7034533354090238,66,142,160,87417,87785,0.3173076923076923,0.2920353982300885,0.30414746543778803,208,23.69425300449963,16.175884262687248,16142,1838.810730762659,0.24991894423517483,0.9143910750647326
2016,pesos_clase,referencia_007217143,100,1,0.07217143,214,72719,12,14840,87785,0.002934199882083556,0.9469026548672567,0.005850271326836069,72933,8308.139203736402,8283.761462664464,73919,8420.459076151963,0.24991894423517483,0.9143910750647326
2019,sin_balanceo,costo,5,1,0.27808460407357033,0,1,123,73324,73448,0.0,0.0,0.0,1,0.13615074610608865,0.13615074610608865,616,83.86885960135062,0.0120375294427629,0.671539171579919
2019,sin_balanceo,f1_validacion,5,1,0.02856111960347755,7,112,116,73213,73448,0.058823529411764705,0.056910569105691054,0.05785123966942149,119,16.201938786624552,15.24888356388193,692,94.21631630541336,0.0120375294427629,0.671539171579919
2019,sin_balanceo,referencia_007217143,5,1,0.07217143,2,22,121,73303,73448,0.08333333333333333,0.016260162601626018,0.027210884353741496,24,3.267617906546128,2.9953164143339506,627,85.3665178085176,0.0120375294427629,0.671539171579919
