evaluation_year,strategy,cost_fn,hypothetical_alert_budget_per_10000,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2016,sin_balanceo,100,25,0.26842483935344047,62.0,158.0,128.0,87722.0,220.0,88070.0,0.2818181818181818,0.3263157894736842,0.3024390243902439,24.98012944248893,12958.0
2016,sin_balanceo,100,50,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,12867.0
2016,sin_balanceo,100,100,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,12867.0
2016,sin_balanceo,100,250,0.26697187989342924,63.0,167.0,127.0,87713.0,230.0,88070.0,0.27391304347826084,0.33157894736842103,0.3,26.115589871692972,12867.0
2016,submuestreo,5,10,0.6588488318240155,35.0,52.0,155.0,87828.0,87.0,88070.0,0.40229885057471265,0.18421052631578946,0.2527075812274368,9.878505734075167,827.0
2016,submuestreo,5,25,0.6082247787236276,65.0,122.0,125.0,87758.0,187.0,88070.0,0.34759358288770054,0.34210526315789475,0.3448275862068966,21.23311002611559,747.0
2016,submuestreo,5,50,0.6082247787236276,65.0,122.0,125.0,87758.0,187.0,88070.0,0.34759358288770054,0.34210526315789475,0.3448275862068966,21.23311002611559,747.0
2016,submuestreo,5,100,0.6082247787236276,65.0,122.0,125.0,87758.0,187.0,88070.0,0.34759358288770054,0.34210526315789475,0.3448275862068966,21.23311002611559,747.0
2016,submuestreo,5,250,0.6082247787236276,65.0,122.0,125.0,87758.0,187.0,88070.0,0.34759358288770054,0.34210526315789475,0.3448275862068966,21.23311002611559,747.0
2016,submuestreo,10,10,0.6588488318240155,35.0,52.0,155.0,87828.0,87.0,88070.0,0.40229885057471265,0.18421052631578946,0.2527075812274368,9.878505734075167,1602.0
2016,submuestreo,10,25,0.6082247787236276,65.0,122.0,125.0,87758.0,187.0,88070.0,0.34759358288770054,0.34210526315789475,0.3448275862068966,21.23311002611559,1372.0
2016,submuestreo,10,50,0.5518380715648967,97.0,319.0,93.0,87561.0,416.0,88070.0,0.23317307692307693,0.5105263157894737,0.3201320132013201,47.23515385488815,1249.0
2016,submuestreo,10,100,0.5375463996969455,104.0,382.0,86.0,87498.0,486.0,88070.0,0.2139917695473251,0.5473684210526316,0.3076923076923077,55.18337685931645,1242.0
