evaluation_year,strategy,cost_fn,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2016,pesos_clase,100,0.49283468672465014,145.0,1568.0,45.0,86312.0,1713.0,88070.0,0.0846468184471687,0.7631578947368421,0.15239096163951654,194.50437152265243,6068.0
2019,sin_balanceo,5,0.27808460407357033,2.0,2.0,134.0,87908.0,4.0,88046.0,0.5,0.014705882352941176,0.02857142857142857,0.45430797537650774,672.0
2019,sin_balanceo,10,0.12882591455025527,3.0,9.0,133.0,87901.0,12.0,88046.0,0.25,0.022058823529411766,0.04054054054054054,1.3629239261295232,1339.0
2019,sin_balanceo,25,0.02856111960347755,11.0,112.0,125.0,87798.0,123.0,88046.0,0.08943089430894309,0.08088235294117647,0.08494208494208494,13.969970242827612,3237.0
2019,sin_balanceo,50,0.01667617505728373,16.0,281.0,120.0,87629.0,297.0,88046.0,0.05387205387205387,0.11764705882352941,0.07390300230946882,33.7323671717057,6281.0
2019,sin_balanceo,100,0.012534672098943234,21.0,536.0,115.0,87374.0,557.0,88046.0,0.03770197486535009,0.15441176470588236,0.06060606060606061,63.262385571178704,12036.0
2019,submuestreo,5,0.8549467147522368,1.0,1.0,135.0,87909.0,2.0,88046.0,0.5,0.007352941176470588,0.014492753623188406,0.22715398768825387,676.0
2019,submuestreo,10,0.8549467147522368,1.0,1.0,135.0,87909.0,2.0,88046.0,0.5,0.007352941176470588,0.014492753623188406,0.22715398768825387,1351.0
2019,submuestreo,25,0.8549467147522368,1.0,1.0,135.0,87909.0,2.0,88046.0,0.5,0.007352941176470588,0.014492753623188406,0.22715398768825387,3376.0
2019,submuestreo,50,0.8549467147522368,1.0,1.0,135.0,87909.0,2.0,88046.0,0.5,0.007352941176470588,0.014492753623188406,0.22715398768825387,6751.0
2019,submuestreo,100,0.6217115428311037,3.0,175.0,133.0,87735.0,178.0,88046.0,0.016853932584269662,0.022058823529411766,0.01910828025477707,20.216704904254595,13475.0
2019,smotenc,5,1.0000000000000002,0.0,0.0,136.0,87910.0,0.0,88046.0,0.0,0.0,0.0,0.0,680.0
2019,smotenc,10,1.0000000000000002,0.0,0.0,136.0,87910.0,0.0,88046.0,0.0,0.0,0.0,0.0,1360.0
2019,smotenc,25,1.0000000000000002,0.0,0.0,136.0,87910.0,0.0,88046.0,0.0,0.0,0.0,0.0,3400.0
2019,smotenc,50,0.6058481464285894,2.0,79.0,134.0,87831.0,81.0,88046.0,0.024691358024691357,0.014705882352941176,0.018433179723502304,9.199736501374282,6779.0
2019,smotenc,100,0.6058481464285894,2.0,79.0,134.0,87831.0,81.0,88046.0,0.024691358024691357,0.014705882352941176,0.018433179723502304,9.199736501374282,13479.0
2019,pesos_clase,5,1.0000000000000002,0.0,0.0,136.0,87910.0,0.0,88046.0,0.0,0.0,0.0,0.0,680.0
2019,pesos_clase,10,1.0000000000000002,0.0,0.0,136.0,87910.0,0.0,88046.0,0.0,0.0,0.0,0.0,1360.0
2019,pesos_clase,25,1.0000000000000002,0.0,0.0,136.0,87910.0,0.0,88046.0,0.0,0.0,0.0,0.0,3400.0
2019,pesos_clase,50,0.8284292233933526,2.0,51.0,134.0,87859.0,53.0,88046.0,0.03773584905660377,0.014705882352941176,0.021164021164021163,6.019580673738727,6751.0
2019,pesos_clase,100,0.8284292233933526,2.0,51.0,134.0,87859.0,53.0,88046.0,0.03773584905660377,0.014705882352941176,0.021164021164021163,6.019580673738727,13451.0
