evaluation_year,candidate,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,recall,precision,alerts,alerts_per_10000,cost_fn10,cost_fn100
2015,rf_profundo,100,0.025,42,621,0.7924528301886793,76.50323667539782,142,26077,48,61803,0.7473684210526316,0.005415919752850986,26219,2977.063699330078,26557,30877
2015,rf_profundo,250,0.02,43,860,0.8113207547169812,104.19671601490833,147,27332,43,60548,0.7736842105263158,0.0053495396484588235,27479,3120.1317134097876,27762,31632
2015,rf_reciente_3a,10,0.05141784671162139,29,51,0.5471698113207547,9.231159779836839,99,11056,91,76824,0.5210526315789473,0.008874943971313312,11155,1266.606108777109,11966,20156
2015,rf_reciente_3a,25,0.03047828423539894,30,123,0.5660377358490566,17.654593078937957,111,16179,79,71701,0.5842105263157895,0.006813996316758748,16290,1849.665039173385,16969,24079
2015,rf_reciente_3a,50,0.018910813197842633,32,288,0.6037735849056604,36.924639119347354,120,17155,70,70725,0.631578947368421,0.006946454413892909,17275,1961.507891449983,17855,24155
2015,rf_reciente_3a,100,0.012645703946291244,36,697,0.6792452830188679,84.58050148275505,129,18996,61,68884,0.6789473684210526,0.006745098039215686,19125,2171.5680708527307,19606,25096
2015,rf_reciente_3a,250,0.007580035662684511,39,1744,0.7358490566037735,205.73947359311356,144,23412,46,64468,0.7578947368421053,0.006113092205807438,23556,2674.690587033042,23872,28012
2015,rf_reciente_profundo,10,0.08,31,33,0.5849056603773585,7.384927823869471,108,15895,82,71985,0.5684210526315789,0.006748734612260201,16003,1817.0773248552289,16715,24095
2015,rf_reciente_profundo,25,0.045,33,128,0.6226415094339622,18.57770905692164,122,20181,68,67699,0.6421052631578947,0.0060089641924838694,20303,2305.325309412967,20861,26981
2015,rf_reciente_profundo,50,0.03,34,281,0.6415094339622641,36.34769163310755,125,24010,65,63870,0.6578947368421053,0.005179200331468821,24135,2740.433745883956,24660,30510
2015,rf_reciente_profundo,100,0.02,36,659,0.6792452830188679,80.19570058733254,134,25925,56,61955,0.7052631578947368,0.005142177366744695,26059,2958.8963324628135,26485,31525
2015,rf_reciente_profundo,250,0.01,42,2083,0.7924528301886793,245.20268165191604,147,32703,43,55177,0.7736842105263158,0.004474885844748858,32850,3729.987509935279,33133,37003
2015,rf_revisado_reciente,10,0.10959287276851322,24,59,0.4528301886792453,9.57732827158072,86,44,104,87836,0.45263157894736844,0.6615384615384615,130,14.76098557965255,1084,10444
2015,rf_revisado_reciente,25,0.07425113977966928,31,167,0.5849056603773585,22.847120455096178,103,144,87,87736,0.5421052631578948,0.41700404858299595,247,28.045872601339845,1014,8844
2015,rf_revisado_reciente,50,0.05579256167442777,34,335,0.6415094339622641,42.57872448449742,116,328,74,87552,0.6105263157894737,0.26126126126126126,444,50.41444305665947,1068,7728
