evaluation_year,candidate,round,cost_fn,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,average_precision
2016,r1_pesos_clase,previous,50,0.4951074610887753,167,1297,59,86262,87785,0.11407103825136612,0.7389380530973452,0.19763313609467456,1464,166.7710884547474,147.74733724440395,4247,0.24991894423517483
2016,r1_pesos_clase,previous,100,0.4537351976851113,177,2325,49,85234,87785,0.07074340527577938,0.7831858407079646,0.12976539589442815,2502,285.01452412143306,264.8516261320271,7225,0.24991894423517483
2016,r1_sin_balanceo,previous,5,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,768,0.32888940597470256
2016,r1_sin_balanceo,previous,10,0.2894350813463686,73,13,153,87546,87785,0.8488372093023255,0.3230088495575221,0.46794871794871795,86,9.796662299937347,1.4808908127812268,1543,0.32888940597470256
2016,r1_sin_balanceo,previous,25,0.26697187989342924,73,193,153,87366,87785,0.2744360902255639,0.3230088495575221,0.2967479674796748,266,30.301304323062027,21.985532835905907,4018,0.32888940597470256
2016,r1_sin_balanceo,previous,50,0.26697187989342924,73,193,153,87366,87785,0.2744360902255639,0.3230088495575221,0.2967479674796748,266,30.301304323062027,21.985532835905907,7843,0.32888940597470256
2016,r1_sin_balanceo,previous,100,0.26697187989342924,73,193,153,87366,87785,0.2744360902255639,0.3230088495575221,0.2967479674796748,266,30.301304323062027,21.985532835905907,15493,0.32888940597470256
2016,r1_smotenc,previous,5,0.5271774704782441,89,241,137,87318,87785,0.2696969696969697,0.3938053097345133,0.32014388489208634,330,37.59184370906191,27.45343737540582,926,0.2195634323204813
2016,r1_smotenc,previous,10,0.5271774704782441,89,241,137,87318,87785,0.2696969696969697,0.3938053097345133,0.32014388489208634,330,37.59184370906191,27.45343737540582,1611,0.2195634323204813
2016,r1_smotenc,previous,25,0.37506425445882124,146,910,80,86649,87785,0.13825757575757575,0.6460176991150443,0.22776911076443057,1056,120.29389986899812,103.66235689468589,2910,0.2195634323204813
2016,r1_smotenc,previous,50,0.34785094309218706,155,1175,71,86384,87785,0.11654135338345864,0.6858407079646017,0.19922879177377892,1330,151.50652161531013,133.84974653984165,4725,0.2195634323204813
2016,r1_smotenc,previous,100,0.3295481946937383,161,1563,65,85996,87785,0.09338747099767981,0.7123893805309734,0.16512820512820514,1724,196.38890471037192,178.04864156746598,8063,0.2195634323204813
2016,r1_submuestreo,previous,5,0.5672976146647215,100,258,126,87301,87785,0.27932960893854747,0.4424778761061947,0.3424657534246575,358,40.78145469043686,29.38998689981204,888,0.27891757591314936
2016,r1_submuestreo,previous,10,0.5287551340825523,117,417,109,87142,87785,0.21910112359550563,0.5176991150442478,0.3078947368421053,534,60.83043800193655,47.50242068690551,1507,0.27891757591314936
2016,r1_submuestreo,previous,25,0.5000716310567028,129,616,97,86943,87785,0.17315436241610738,0.5707964601769911,0.26570545829042225,745,84.86643504015493,70.1714415902489,3041,0.27891757591314936
2016,r1_submuestreo,previous,50,0.4065517191864897,161,1825,65,85734,87785,0.081067472306143,0.7123893805309734,0.14556962025316456,1986,226.23455032180897,207.894287178903,5075,0.27891757591314936
2016,r1_submuestreo,previous,100,0.39968613205337383,163,1957,63,85602,87785,0.07688679245283019,0.7212389380530974,0.13895993179880647,2120,241.49911716124623,222.93102466252776,8257,0.27891757591314936
2016,rf_actualizado,previous,5,0.07789948598144587,116,46,110,87513,87785,0.7160493827160493,0.5132743362831859,0.5979381443298969,162,18.454177820812212,5.240075183687418,596,0.5578911773885354
2016,rf_actualizado,previous,10,0.05540740655643118,119,93,107,87466,87785,0.5613207547169812,0.5265486725663717,0.54337899543379,212,24.149911716124624,10.594065045281084,1163,0.5578911773885354
2016,rf_actualizado,previous,25,0.03005134307834322,140,234,86,87325,87785,0.37433155080213903,0.6194690265486725,0.4666666666666667,374,42.60408953693683,26.656034630062084,2384,0.5578911773885354
2016,rf_actualizado,previous,50,0.01766872843756953,149,682,77,86877,87785,0.1793020457280385,0.6592920353982301,0.28192999053926204,831,94.66309734009226,77.68981033206128,4532,0.5578911773885354
2016,rf_actualizado,previous,100,0.012900155925023471,157,1421,69,86138,87785,0.09949302915082382,0.6946902654867256,0.17405764966740578,1578,179.7573617360597,161.87275730477873,8321,0.5578911773885354
2016,rf_peso10_reciente,previous,5,0.08300476662990341,115,186,111,87373,87785,0.38205980066445183,0.5088495575221239,0.4364326375711575,301,34.28831804978071,21.18813009056217,741,0.4468319778645254
2016,rf_peso10_reciente,previous,10,0.07822443411893754,118,214,108,87345,87785,0.35542168674698793,0.5221238938053098,0.4229390681003584,332,37.81967306487441,24.37774107193712,1294,0.4468319778645254
2016,rf_peso10_reciente,previous,25,0.039449727728221556,147,1084,79,86475,87785,0.11941510966693746,0.6504424778761062,0.20178448867536034,1231,140.22896850259156,123.48351085037307,3059,0.4468319778645254
2016,rf_peso10_reciente,previous,50,0.039449727728221556,147,1084,79,86475,87785,0.11941510966693746,0.6504424778761062,0.20178448867536034,1231,140.22896850259156,123.48351085037307,5034,0.4468319778645254
2016,rf_peso10_reciente,previous,100,0.03501309281918662,152,1334,74,86225,87785,0.10228802153432032,0.672566371681416,0.17757009345794392,1486,169.27721136868485,151.9621803269351,8734,0.4468319778645254
2016,rf_profundo,previous,5,0.2,118,21,108,87538,87785,0.8489208633093526,0.5221238938053098,0.6465753424657534,139,15.834140228968502,2.3922082360312125,561,0.625943658310943
2016,rf_profundo,previous,10,0.085,140,87,86,87472,87785,0.6167400881057269,0.6194690265486725,0.6181015452538632,227,25.858631884718346,9.910576977843595,947,0.625943658310943
2016,rf_profundo,previous,25,0.04,152,437,74,87122,87785,0.25806451612903225,0.672566371681416,0.37300613496932516,589,67.0957452867802,49.780714245030474,2287,0.625943658310943
2016,rf_profundo,previous,50,0.04,152,437,74,87122,87785,0.25806451612903225,0.672566371681416,0.37300613496932516,589,67.0957452867802,49.780714245030474,4137,0.625943658310943
2016,rf_profundo,previous,100,0.04,152,437,74,87122,87785,0.25806451612903225,0.672566371681416,0.37300613496932516,589,67.0957452867802,49.780714245030474,7837,0.625943658310943
2016,rf_reciente_3a,previous,5,0.048851334059980885,89,89,137,87470,87785,0.5,0.3938053097345133,0.4405940594059406,178,20.276812667312182,10.138406333656091,774,0.4358028320482471
2016,rf_reciente_3a,previous,10,0.03785462832551298,101,133,125,87426,87785,0.43162393162393164,0.4469026548672566,0.4391304347826087,234,26.656034630062084,15.150652161531013,1383,0.4358028320482471
2016,rf_reciente_3a,previous,25,0.03129941427052935,110,199,116,87360,87785,0.3559870550161812,0.48672566371681414,0.411214953271028,309,35.1996354730307,22.669020903343394,3099,0.4358028320482471
2016,rf_reciente_3a,previous,50,0.03129941427052935,110,199,116,87360,87785,0.3559870550161812,0.48672566371681414,0.411214953271028,309,35.1996354730307,22.669020903343394,5999,0.4358028320482471
2016,rf_reciente_3a,previous,100,0.011145625470026631,146,1773,80,85786,87785,0.0760812923397603,0.6460176991150443,0.13613053613053613,1919,218.60226690209032,201.9707239277781,9773,0.4358028320482471
2016,rf_reciente_profundo,previous,5,0.12,104,26,122,87533,87785,0.8,0.46017699115044247,0.5842696629213483,130,14.808908127812268,2.9617816255624536,636,0.5209029280423793
2016,rf_reciente_profundo,previous,10,0.065,119,83,107,87476,87785,0.5891089108910891,0.5265486725663717,0.5560747663551402,202,23.01076493706214,9.454918266218602,1153,0.5209029280423793
2016,rf_reciente_profundo,previous,25,0.065,119,83,107,87476,87785,0.5891089108910891,0.5265486725663717,0.5560747663551402,202,23.01076493706214,9.454918266218602,2758,0.5209029280423793
2016,rf_reciente_profundo,previous,50,0.045,128,330,98,87229,87785,0.2794759825327511,0.5663716814159292,0.3742690058479532,458,52.17292248106168,37.59184370906191,5230,0.5209029280423793
2016,rf_reciente_profundo,previous,100,0.045,128,330,98,87229,87785,0.2794759825327511,0.5663716814159292,0.3742690058479532,458,52.17292248106168,37.59184370906191,10130,0.5209029280423793
2016,rf_revisado_reciente,previous,5,0.09243139700443562,112,151,114,87408,87785,0.42585551330798477,0.49557522123893805,0.45807770961145194,263,29.959560289343283,17.201116363843482,721,0.48227656863828444
2016,rf_revisado_reciente,previous,10,0.09243139700443562,112,151,114,87408,87785,0.42585551330798477,0.49557522123893805,0.45807770961145194,263,29.959560289343283,17.201116363843482,1291,0.48227656863828444
2016,rf_revisado_reciente,previous,25,0.04168359661867958,148,853,78,86706,87785,0.14785214785214784,0.6548672566371682,0.24123879380603097,1001,114.02859258415447,97.16922025402974,2803,0.48227656863828444
